Date,Open,High,Low,Settle,Volume,Open Interest
2015-03-13,20.5,21.25,20.5,21.2,6002.0,28006.0
2015-03-16,21.0,21.05,20.6,20.95,10368.0,28554.0
2015-03-17,21.0,21.95,20.8,21.65,18405.0,29114.0
2015-03-18,21.65,22.0,20.8,21.65,22047.0,32267.0
2015-03-19,20.75,22.05,20.55,21.45,25224.0,37720.0
2015-03-20,21.3,21.5,20.4,20.55,7444.0,42793.0
2015-03-23,20.7,21.3,20.7,20.95,7926.0,42902.0
2015-03-24,21.1,21.1,19.85,19.9,22261.0,42584.0
2015-03-25,20.0,21.15,19.9,20.7,13107.0,49661.0
2015-03-26,21.6,22.35,21.15,21.25,12902.0,50318.0
2015-03-27,20.95,21.9,20.65,21.8,11361.0,54786.0
2015-03-30,21.0,21.3,20.7,20.75,7628.0,50441.0
2015-03-31,20.8,21.8,20.4,21.45,10016.0,50453.0
2015-04-01,22.0,22.0,21.35,21.6,12860.0,48052.0
2015-04-02,21.7,21.7,21.1,21.2,7839.0,46714.0
2015-04-07,20.85,20.85,20.05,20.15,14004.0,45732.0
2015-04-08,20.05,20.4,19.85,19.95,9309.0,43204.0
2015-04-09,19.8,19.8,18.75,19.35,18242.0,38933.0
2015-04-10,18.75,19.1,18.4,18.5,22505.0,36808.0
2015-04-13,18.5,18.9,18.1,18.2,20449.0,39701.0
2015-04-14,18.6,19.3,18.45,18.9,18286.0,32578.0
2015-04-15,18.6,18.6,18.0,18.27,2173.0,27806.0
