Date,Open,High,Low,Settle,Volume,Open Interest
2015-04-17,139.79,139.79,139.2,139.43,31.0,48.0
2015-04-20,139.23,139.23,139.23,139.23,0.0,48.0
2015-04-21,139.16,139.16,139.16,139.16,0.0,48.0
2015-04-22,139.94,139.94,139.94,139.94,0.0,48.0
2015-04-23,140.0,140.0,140.0,140.0,0.0,48.0
2015-04-24,139.71,139.71,139.71,139.71,0.0,48.0
2015-04-27,140.38,140.38,140.38,140.38,0.0,48.0
2015-04-28,140.49,140.49,140.49,140.49,0.0,48.0
2015-04-29,139.71,139.71,139.71,139.16,1.0,49.0
2015-04-30,139.14,139.14,139.14,139.14,0.0,49.0
2015-05-04,138.7,138.7,138.37,138.64,8.0,52.0
2015-05-05,138.31,138.31,134.86,135.34,29.0,39.0
2015-05-06,135.29,135.29,134.25,134.13,3.0,38.0
2015-05-07,135.68,135.68,135.68,135.68,0.0,38.0
2015-05-08,136.15,136.15,136.15,136.51,2.0,40.0
2015-05-11,135.69,135.69,135.69,135.69,0.0,40.0
2015-05-12,134.6,134.6,134.6,134.63,1.0,40.0
2015-05-13,134.6,134.6,134.6,134.43,7.0,40.0
2015-05-14,134.6,134.6,134.6,134.82,38.0,51.0
2015-05-15,135.7,135.7,135.7,135.7,0.0,51.0
2015-05-18,135.7,135.7,135.7,134.3,15.0,65.0
2015-05-19,135.09,135.09,135.09,135.09,0.0,65.0
2015-05-20,135.09,135.09,135.09,134.82,2.0,67.0
2015-05-21,134.84,134.84,134.84,134.84,0.0,67.0
2015-05-22,134.97,134.97,134.97,135.06,1467.0,1465.0
2015-05-25,0.0,0.0,0.0,135.06,0.0,1465.0
2015-05-26,134.23,134.61,133.75,134.06,1291.0,2615.0
2015-05-27,134.29,135.03,133.9,134.98,3239.0,5398.0
2015-05-28,134.8,135.12,134.72,134.96,7249.0,10967.0
2015-05-29,134.84,135.08,134.66,134.89,10052.0,17646.0
2015-06-01,134.9,134.93,133.35,133.96,36898.0,43473.0
2015-06-02,133.7,133.86,131.85,132.19,64715.0,43473.0
2015-06-03,132.12,133.25,131.15,131.79,122292.0,91426.0
2015-06-04,131.67,132.39,130.36,132.0,96807.0,153935.0
2015-06-05,131.44,131.69,130.58,130.83,121936.0,178422.0
2015-06-08,130.69,131.19,130.21,130.68,72972.0,199004.0
2015-06-09,130.79,131.09,130.11,130.34,69532.0,195642.0
2015-06-10,130.1,130.8,128.76,130.12,129284.0,198804.0
2015-06-11,130.3,132.22,129.7,131.85,172384.0,204629.0
2015-06-12,131.74,131.74,129.58,130.5,141282.0,206946.0
2015-06-15,129.72,129.88,128.12,129.02,124827.0,206680.0
2015-06-16,128.52,129.64,127.23,129.38,155368.0,210452.0
2015-06-17,129.01,130.03,128.77,129.68,83055.0,221578.0
2015-06-18,129.6,130.3,129.17,129.95,98840.0,216043.0
2015-06-19,129.49,130.48,129.21,129.78,87206.0,217748.0
2015-06-22,130.9,132.32,130.56,131.7,136518.0,214452.0
2015-06-23,131.87,132.69,131.7,131.89,103822.0,203909.0
2015-06-24,131.7,132.14,130.71,131.71,93750.0,202595.0
2015-06-25,131.55,132.41,130.98,131.8,99610.0,205233.0
2015-06-26,131.61,132.51,131.61,131.86,77463.0,207159.0
2015-06-29,127.21,130.58,125.65,129.4,135752.0,209391.0
2015-06-30,129.83,130.5,128.73,130.21,143906.0,222013.0
2015-07-01,129.87,131.22,129.81,130.47,97760.0,226636.0
2015-07-02,130.02,130.31,129.61,129.91,77681.0,220556.0
2015-07-03,129.82,131.04,129.68,130.7,67398.0,226532.0
2015-07-06,129.18,130.37,128.95,129.69,89807.0,230276.0
2015-07-07,129.48,131.28,129.48,130.53,98330.0,238869.0
2015-07-08,130.6,131.66,130.35,131.28,74438.0,244953.0
2015-07-09,131.8,132.27,131.35,131.91,68022.0,242052.0
2015-07-10,132.57,133.62,131.84,132.23,136673.0,238608.0
2015-07-13,131.49,133.3,131.22,132.61,100346.0,234695.0
2015-07-14,132.6,133.14,132.26,133.03,49076.0,229692.0
2015-07-15,132.86,134.04,132.86,133.67,66853.0,231719.0
2015-07-16,134.2,134.25,133.71,134.1,73227.0,234730.0
2015-07-17,134.11,135.03,134.07,134.81,54667.0,229341.0
2015-07-20,135.1,135.68,134.88,135.1,59738.0,231148.0
2015-07-21,135.33,135.43,134.08,134.33,60131.0,229825.0
2015-07-22,134.51,134.87,134.06,134.77,58820.0,223093.0
2015-07-23,134.67,135.39,134.67,135.15,46296.0,223540.0
2015-07-24,135.44,135.62,135.21,135.51,38741.0,222963.0
2015-07-27,135.5,135.65,134.82,135.22,47092.0,221757.0
2015-07-28,135.3,135.53,134.99,135.37,48361.0,224305.0
2015-07-29,135.55,135.63,135.02,135.16,40433.0,228583.0
2015-07-30,135.34,136.22,135.06,136.07,98333.0,227987.0
2015-07-31,136.28,136.78,135.82,136.7,81478.0,233861.0
2015-08-03,136.81,136.81,136.31,136.45,46046.0,231862.0
2015-08-04,136.38,137.01,136.38,136.48,55694.0,227706.0
2015-08-05,136.32,136.6,134.93,135.36,80337.0,225433.0
2015-08-06,135.21,135.68,135.04,135.57,58804.0,221105.0
2015-08-07,135.66,136.11,135.19,136.04,51721.0,220382.0
2015-08-10,136.43,136.43,135.83,136.14,31105.0,222834.0
2015-08-11,136.2,137.07,136.12,136.95,64471.0,221218.0
2015-08-12,136.98,137.16,135.75,136.66,68059.0,217618.0
2015-08-13,136.63,136.79,136.24,136.67,49556.0,217899.0
2015-08-14,136.62,137.33,136.31,136.4,52396.0,222552.0
2015-08-17,136.58,137.05,136.5,137.03,39093.0,220032.0
2015-08-18,137.04,137.17,136.26,136.46,53552.0,221612.0
2015-08-19,136.25,136.64,136.07,136.3,47522.0,218171.0
2015-08-20,136.5,136.88,136.14,136.23,71495.0,215285.0
2015-08-21,136.11,136.29,135.55,135.84,83122.0,217253.0
2015-08-24,136.0,136.06,135.19,135.4,95021.0,223722.0
2015-08-25,135.43,135.64,134.44,134.62,79027.0,226460.0
2015-08-26,134.35,135.09,134.32,134.71,77435.0,235641.0
2015-08-27,134.78,135.35,134.48,135.23,73330.0,220311.0
2015-08-28,135.12,135.83,135.12,135.48,89777.0,216525.0
2015-08-31,135.4,135.6,134.9,135.17,43771.0,217341.0
2015-09-01,134.96,135.26,134.5,134.55,93212.0,210408.0
2015-09-02,134.63,134.75,134.37,134.49,176586.0,195555.0
2015-09-03,134.66,135.58,134.4,135.31,188536.0,139676.0
2015-09-04,135.79,135.99,135.31,135.84,145353.0,101927.0
2015-09-07,135.75,136.1,135.65,135.72,53654.0,44271.0
2015-09-08,135.67,136.35,135.58,136.22,3343.0,9147.0
