Date,Open,High,Low,Settle,Volume,Interest
2016-04-15,436.85,436.85,435.3,436.45,25.0,182.0
2016-04-18,0.0,0.0,0.0,436.8,0.0,179.0
2016-04-19,0.0,0.0,0.0,442.4,0.0,179.0
2016-04-20,0.0,0.0,0.0,442.2,0.0,179.0
2016-04-21,443.6,443.6,439.2,439.85,36.0,179.0
2016-04-22,439.0,439.0,437.6,438.35,8.0,203.0
2016-04-25,433.65,433.65,433.65,433.95,1.0,197.0
2016-04-26,0.0,0.0,0.0,434.75,0.0,197.0
2016-04-27,436.1,436.1,436.1,437.1,1.0,197.0
2016-04-28,435.1,439.85,432.55,439.75,10.0,197.0
2016-04-29,434.25,434.25,431.8,429.05,14.0,197.0
2016-05-02,430.15,430.15,430.15,430.65,1.0,194.0
2016-05-03,426.0,426.0,421.4,423.25,2.0,194.0
2016-05-04,0.0,0.0,0.0,418.9,0.0,194.0
2016-05-05,0.0,0.0,0.0,421.15,0.0,194.0
2016-05-06,422.7,423.2,422.7,421.3,2.0,194.0
2016-05-09,423.75,423.75,423.75,421.55,1.0,194.0
2016-05-10,426.9,429.0,425.75,426.25,8.0,194.0
2016-05-11,424.5,425.0,424.5,424.7,6.0,198.0
2016-05-12,427.1,427.1,421.85,421.05,5.0,198.0
2016-05-13,419.0,421.1,418.9,423.7,6.0,198.0
2016-05-16,421.25,421.5,421.25,424.7,2.0,199.0
2016-05-17,428.5,428.5,423.5,423.25,2.0,200.0
2016-05-18,421.85,421.85,421.85,425.55,2.0,200.0
2016-05-19,420.3,421.8,420.3,420.65,31.0,200.0
2016-05-20,425.05,426.5,425.05,426.85,37.0,230.0
2016-05-23,0.0,0.0,0.0,426.1,0.0,224.0
2016-05-24,428.1,435.5,428.1,434.45,15.0,224.0
2016-05-25,440.5,440.5,440.5,439.95,1.0,234.0
2016-05-26,441.1,441.1,441.1,441.75,3.0,235.0
2016-05-27,442.95,443.05,442.9,443.65,84.0,236.0
2016-05-30,0.0,0.0,0.0,444.5,0.0,320.0
2016-05-31,440.85,440.95,438.95,440.65,12.0,320.0
2016-06-01,438.9,438.9,437.35,439.6,12.0,316.0
2016-06-02,0.0,0.0,0.0,440.3,0.0,313.0
