Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2008-11-19,49.0,52.97,48.95,52.38,52.26,3.67,486.0,0.0,4104.0
2008-11-20,52.01,55.0,52.01,54.62,54.67,2.41,366.0,0.0,4344.0
2008-11-21,54.78,55.47,53.17,53.25,53.11,-1.56,77.0,0.0,4116.0
2008-11-24,53.09,53.17,49.8,50.4,50.33,-2.78,253.0,0.0,4084.0
2008-11-25,49.89,51.29,48.5,48.83,49.1,-1.23,444.0,0.0,4006.0
2008-11-26,50.87,50.87,47.22,47.22,47.23,-1.87,241.0,0.0,3941.0
2008-11-28,48.0,48.0,47.23,47.4,47.17,-0.06,34.0,0.0,3934.0
2008-12-01,49.11,52.15,48.62,51.93,51.91,4.74,114.0,0.0,3622.0
2008-12-02,51.8,52.24,51.04,51.89,51.78,-0.13,155.0,0.0,3711.0
2008-12-03,53.01,53.02,51.35,51.35,51.21,-0.57,98.0,0.0,3710.0
2008-12-04,51.75,54.42,51.6,54.23,53.94,2.73,143.0,0.0,3764.0
2008-12-05,54.7,56.18,53.45,53.7,53.58,-0.36,199.0,0.0,3686.0
2008-12-08,51.82,53.77,50.0,52.78,52.72,-0.86,101.0,0.0,3656.0
2008-12-09,53.34,53.82,52.85,53.38,53.33,0.61,78.0,0.0,3658.0
2008-12-10,53.36,53.71,52.59,53.0,52.76,-0.57,146.0,0.0,3649.0
2008-12-11,53.45,53.6,51.7,53.45,53.38,0.62,137.0,0.0,3629.0
2008-12-12,53.92,54.5,52.85,52.85,52.8,-0.58,150.0,0.0,3673.0
2008-12-15,53.0,53.52,52.54,52.59,52.63,-0.17,524.0,0.0,3594.0
2008-12-16,52.69,52.69,50.03,50.03,50.28,-2.35,720.0,0.0,3473.0
2008-12-17,50.72,51.08,49.44,50.01,49.94,-0.34,492.0,0.0,3523.0
2008-12-18,50.05,50.55,48.22,48.9,48.93,-1.01,174.0,0.0,3070.0
2008-12-19,49.45,49.45,45.67,46.49,46.53,-2.4,324.0,0.0,3132.0
2008-12-22,45.2,46.02,44.8,45.6,45.63,-0.9,65.0,0.0,3122.0
2008-12-23,44.44,46.48,44.42,46.4,46.54,0.91,107.0,0.0,3109.0
2008-12-24,45.72,46.0,45.5,45.9,45.96,-0.58,39.0,0.0,2973.0
2008-12-26,45.51,45.87,45.5,45.87,45.65,-0.31,22.0,0.0,2960.0
2008-12-29,45.04,47.05,45.04,46.8,46.76,1.11,90.0,0.0,2930.0
2008-12-30,46.25,46.72,44.8,45.23,45.08,-1.68,59.0,0.0,2925.0
2008-12-31,44.49,44.63,41.98,42.88,42.93,-2.15,148.0,0.0,3009.0
2009-01-02,42.76,42.76,39.16,39.9,39.91,-3.02,346.0,0.0,3203.0
2009-01-05,40.19,41.04,39.1,40.29,40.16,0.25,379.0,0.0,3376.0
2009-01-06,39.42,39.5,38.5,39.45,39.55,-0.61,218.0,0.0,3424.0
2009-01-07,40.36,42.66,40.11,42.39,42.5,2.95,497.0,77.0,3317.0
2009-01-08,42.4,43.85,42.4,42.8,42.72,0.22,706.0,0.0,3548.0
2009-01-09,42.31,44.27,41.02,44.19,44.15,1.43,217.0,0.0,3252.0
2009-01-12,44.35,47.99,44.0,47.7,47.74,3.59,641.0,0.0,3527.0
2009-01-13,47.8,47.8,46.13,46.82,46.81,-0.93,788.0,0.0,3792.0
2009-01-14,47.95,52.88,47.9,50.72,50.56,3.75,553.0,0.0,3696.0
2009-01-15,50.85,53.7,48.85,49.85,49.93,-0.63,1114.0,0.0,4128.0
2009-01-16,48.31,49.35,46.14,48.65,48.53,-1.4,1216.0,0.0,4535.0
2009-01-20,50.0,55.5,49.12,54.68,54.66,6.13,1479.0,0.0,4427.0
2009-01-21,53.48,54.99,50.83,51.24,51.13,-3.53,3091.0,23.0,5715.0
2009-01-22,52.41,53.8,50.3,50.65,50.54,-0.59,846.0,0.0,5761.0
2009-01-23,53.13,53.36,48.99,50.2,50.16,-0.38,378.0,0.0,5748.0
2009-01-26,49.71,49.71,46.0,47.57,47.55,-2.61,684.0,0.0,5854.0
2009-01-27,46.52,47.94,44.01,45.09,45.16,-2.39,662.0,0.0,5996.0
2009-01-28,44.0,44.0,41.8,42.35,42.31,-2.85,866.0,0.0,6107.0
2009-01-29,43.12,44.51,43.0,43.33,43.38,1.07,700.0,0.0,5897.0
2009-01-30,43.33,45.86,43.01,44.96,44.99,1.61,721.0,0.0,5992.0
2009-02-02,46.2,47.25,45.0,45.4,45.35,0.36,723.0,0.0,5701.0
2009-02-03,44.9,45.3,42.85,43.05,43.15,-2.2,563.0,0.0,5494.0
2009-02-04,42.45,43.9,41.55,43.75,43.75,0.6,625.0,0.0,5575.0
2009-02-05,44.0,45.75,42.3,43.2,43.25,-0.5,1073.0,0.0,5420.0
2009-02-06,42.55,42.85,41.15,42.6,42.6,-0.65,820.0,0.0,5127.0
2009-02-09,42.65,44.0,42.4,42.5,42.5,-0.1,1060.0,0.0,4948.0
2009-02-10,43.05,46.3,42.7,45.65,45.6,3.1,1362.0,0.0,4852.0
2009-02-11,45.0,45.5,44.0,44.6,44.6,-1.0,687.0,0.0,4228.0
2009-02-12,45.75,46.85,42.35,42.55,42.55,-2.05,1930.0,0.0,4474.0
2009-02-13,43.0,43.7,42.35,43.65,43.6,1.05,1028.0,4.0,3768.0
2009-02-17,46.5,49.85,46.05,48.05,48.0,4.4,1648.0,0.0,3347.0
2009-02-18,0.0,0.0,0.0,0.0,48.4,0.4,0.0,0.0,2587.0
