Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-03-09,130.1,130.28,130.1,130.28,1.0,1.0
2015-03-10,130.47,130.47,130.47,130.47,0.0,1.0
2015-03-11,130.48,130.48,130.48,130.48,0.0,1.0
2015-03-12,130.67,130.67,130.67,130.67,0.0,1.0
2015-03-13,130.36,130.51,130.31,130.59,6.0,7.0
2015-03-16,130.15,130.15,130.15,130.27,2.0,9.0
2015-03-17,130.19,130.19,130.19,130.19,0.0,9.0
2015-03-18,130.19,130.19,130.19,130.75,2.0,9.0
2015-03-19,130.65,130.65,130.65,130.65,0.0,9.0
2015-03-20,130.71,130.71,130.71,130.71,0.0,9.0
2015-03-23,130.5,130.5,130.5,130.5,0.0,9.0
2015-03-24,130.53,130.53,130.53,130.53,0.0,9.0
2015-03-25,130.62,130.62,130.62,130.63,5.0,9.0
2015-03-26,130.69,130.74,130.69,130.75,10.0,14.0
2015-03-27,130.71,130.71,130.71,130.77,1.0,15.0
2015-03-30,130.8,130.92,130.8,130.76,215.0,122.0
2015-03-31,130.91,130.91,130.91,130.83,50.0,72.0
2015-04-01,130.89,130.89,130.89,130.84,1.0,72.0
2015-04-02,130.87,130.87,130.87,130.78,1.0,72.0
2015-04-07,130.83,130.92,130.83,130.87,45.0,62.0
2015-04-08,131.1,131.1,131.1,131.05,10.0,52.0
2015-04-09,131.05,131.05,131.05,131.04,1.0,53.0
2015-04-10,131.04,131.04,131.04,131.04,0.0,53.0
2015-04-13,130.96,130.96,130.96,131.0,1.0,54.0
2015-04-14,131.1,131.1,131.1,131.1,0.0,54.0
2015-04-15,131.13,131.19,131.13,131.17,837.0,864.0
2015-04-16,131.19,131.19,131.19,131.19,0.0,864.0
2015-04-17,131.31,131.31,131.31,131.26,10.0,874.0
2015-04-20,131.22,131.22,131.22,131.22,0.0,874.0
2015-04-21,131.22,131.22,131.22,131.2,481.0,1331.0
2015-04-22,131.22,131.22,131.22,130.9,511.0,1840.0
2015-04-23,130.97,130.97,130.97,130.97,0.0,1840.0
2015-04-24,130.95,130.99,130.93,130.97,4904.0,6719.0
2015-04-27,130.95,130.99,130.93,130.96,700.0,7419.0
2015-04-28,131.08,131.08,131.04,131.05,2335.0,9688.0
2015-04-29,130.98,130.98,130.69,130.51,7031.0,14853.0
2015-04-30,130.53,130.53,130.11,130.18,6200.0,14853.0
2015-05-04,130.11,130.16,129.91,129.97,3017.0,22604.0
2015-05-05,129.94,130.15,129.8,129.84,6732.0,26346.0
2015-05-06,129.88,129.89,129.56,129.62,8439.0,28984.0
2015-05-07,129.55,129.64,129.08,129.57,14505.0,31472.0
2015-05-08,129.66,129.9,129.59,129.89,9602.0,36287.0
2015-05-11,129.79,129.82,129.61,129.73,3343.0,38208.0
2015-05-12,129.53,129.53,129.4,129.48,5261.0,38633.0
